textbox3,Month,Year,Date,CropNameUrdu,textbox2
Khudian    View Graph,November - 2015,November,19-November-2022,Bitter Gourd (کریلا),"4,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Dates (Aseel),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Cucumber (Kheera),"4,400.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Kinnow (100Pcs),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Carrot,"5,300.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Carrot China,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Sweet Musk Melon,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Sweet Musk Melon (Shireen),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Grapefruit(100Pcs),NA
Khudian    View Graph,November - 2015,November,19-November-2022,sugarcane,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Cabbage,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Zucchini (گھیا توری),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Garlic (China),"26,500.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Garlic (Local),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Lychee,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Lemon (Other),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Lemon (China),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Lemon (Desi),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Orange(100Pcs),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Musambi(100Pcs),NA
Khudian    View Graph,November - 2015,November,19-November-2022,Radish,"1,800.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Mongray,"8,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Peas,"18,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Fenugreek(میتھی),"1,650.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Cocunut,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Pear,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Tomato,"17,000.00"
Khudian    View Graph,November - 2015,November,19-November-2022,Tindian,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Tinda Desi,NA
Khudian    View Graph,November - 2015,November,19-November-2022,Green Chilli,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Dates(Irani),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Banana(DOZEN),135.00
Khudian    View Graph,November - 2015,November,22-November-2022,Ginger (Thai),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Ginger(China),"32,000.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Cocoyam(اروی),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Strawberry,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Plum,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Potato Store,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Potato Sugar free,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Potato Fresh,"7,100.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Mango (Malda),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango(Anwer Ratol),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango(Chounsa),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango(Desahri),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango Desi,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango(Sindhri),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mango Saharni,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Guava,"6,800.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Pomegranate(Badana),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Pomegranate Desi,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Pomegranate(Kandhari),"20,800.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Grapes (Other),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Grapes Sundekhani,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Grapes Gola,"25,500.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Peach,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Peach Special,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Lady Finger/Okra (بھنڈی توری),"5,650.00"
Khudian    View Graph,November - 2015,November,22-November-2022,jujube(بیر),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Gram Flour (بیسن),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Brinjal,"1,650.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Spinach,"1,800.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Papaya(پپیتا),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mint(پودینہ),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Cauliflower,"2,200.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Onion,"16,900.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Watermelon,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Turmeric Whole(ثابت ہلدی),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Persimmon(جاپانی پھل),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Jaman,NA
Khudian    View Graph,November - 2015,November,22-November-2022,green chickpeas(چھولیا),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Pumpkin,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Melon,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apricot Yellow,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apricot White,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Gram Pulse,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Coriander (دھنیا),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Mustard Greens(ساگ سرسوں),"3,200.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Green Onion,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Water chestnut(سنگھاڑا),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apple (Ammre),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apple Kala Kullu (Madani),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apple Kala Kullu (Pahari),"22,400.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Apple (Gatcha),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Apple (Golden),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Sweet Potato(شکر قندی),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Turnip,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Capsicum (شملہ مرچ),"4,700.00"
Khudian    View Graph,November - 2015,November,22-November-2022,feutral early(100 Pcs) فروٹر,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Gram Black,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Bottle Gourd (کدو),"1,800.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Bitter Gourd (کریلا),"6,000.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Dates (Aseel),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Cucumber (Kheera),"6,500.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Kinnow (100Pcs),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Carrot,"6,500.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Carrot China,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Sweet Musk Melon,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Sweet Musk Melon (Shireen),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Grapefruit(100Pcs),NA
Khudian    View Graph,November - 2015,November,22-November-2022,sugarcane,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Cabbage,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Zucchini (گھیا توری),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Garlic (China),"26,500.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Garlic (Local),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Lychee,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Lemon (Other),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Lemon (China),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Lemon (Desi),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Orange(100Pcs),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Musambi(100Pcs),NA
Khudian    View Graph,November - 2015,November,22-November-2022,Radish,"1,800.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Mongray,"8,500.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Peas,"17,350.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Fenugreek(میتھی),"2,200.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Cocunut,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Pear,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Tomato,"18,850.00"
Khudian    View Graph,November - 2015,November,22-November-2022,Tindian,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Tinda Desi,NA
Khudian    View Graph,November - 2015,November,22-November-2022,Green Chilli,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Dates(Irani),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Banana(DOZEN),135.00
Khudian    View Graph,November - 2015,November,23-November-2022,Ginger (Thai),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Ginger(China),"28,250.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Cocoyam(اروی),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Strawberry,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Plum,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Potato Store,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Potato Sugar free,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Potato Fresh,"6,800.00"
